,name,album,release_date,release_year,track_number,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
420,Sad Beautiful Tragic,Red,10/22/2012,2012,12,0.632,0.624,0.34,0.0337,0.121,-12.411,0.029,129.987,0.261,35,283680
156,You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),4/9/2021,2021,6,0.0623,0.632,0.773,0,0.0885,-4.856,0.0346,130.033,0.474,84,231124
261,cardigan,folklore,7/24/2020,2020,2,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,0.551,88,239560
210,cardigan,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,2,0.525,0.612,0.58,0.000414,0.26,-8.572,0.0419,130.045,0.534,53,239560
244,cardigan,folklore (deluxe version),8/18/2020,2020,2,0.525,0.612,0.58,0.000414,0.26,-8.572,0.0419,130.045,0.534,71,239560
132,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),11/12/2021,2021,12,0.622,0.601,0.406,9.19E-05,0.133,-11.827,0.0275,130.059,0.232,68,284773
59,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),7/7/2023,2023,17,0.0164,0.547,0.855,0,0.144,-4.7,0.0597,131.073,0.282,72,266466
522,Stay Beautiful,Taylor Swift,10/24/2006,2006,8,0.0868,0.594,0.629,0,0.137,-4.919,0.0246,131.597,0.504,56,236053
58,Superman (Taylor’s Version),Speak Now (Taylor's Version),7/7/2023,2023,16,0.0031,0.533,0.742,0,0.108,-3.473,0.0303,131.93,0.356,66,274945
457,Superman,Speak Now (Deluxe Edition),10/25/2010,2010,17,0.0268,0.582,0.765,1.95E-06,0.103,-3.648,0.0324,131.982,0.559,42,275960
53,Innocent (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,2023,11,0.101,0.522,0.598,0,0.152,-5.327,0.0284,133.627,0.149,67,301221
159,You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),4/9/2021,2021,9,0.0538,0.506,0.444,0,0.123,-4.99,0.0285,133.873,0.241,67,261842
502,You're Not Sorry,Fearless,11/11/2008,2008,9,0.146,0.475,0.452,1.36E-06,0.108,-4.134,0.027,133.959,0.276,44,261786
489,You're Not Sorry,Fearless Platinum Edition,11/11/2008,2008,15,0.13,0.459,0.459,2.30E-06,0.113,-4.126,0.0275,134.018,0.281,40,261800
451,Innocent,Speak Now (Deluxe Edition),10/25/2010,2010,11,0.186,0.552,0.608,0,0.125,-5.29,0.0259,134.05,0.17,41,302253
471,Innocent,Speak Now,10/25/2010,2010,11,0.186,0.552,0.608,0,0.125,-5.29,0.0259,134.05,0.17,42,302253
217,this is me trying,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,9,0.312,0.511,0.478,2.30E-05,0.147,-9.837,0.0322,135.882,0.408,50,195106
251,this is me trying,folklore (deluxe version),8/18/2020,2020,9,0.312,0.511,0.478,2.30E-05,0.147,-9.837,0.0322,135.882,0.408,69,195106
268,this is me trying,folklore,7/24/2020,2020,9,0.314,0.515,0.476,4.74E-05,0.171,-9.843,0.0328,135.886,0.412,77,195097
297,Don’t Blame Me,reputation,11/10/2017,2017,4,0.106,0.615,0.534,1.76E-05,0.0607,-6.719,0.0386,135.917,0.193,88,236413
172,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),4/9/2021,2021,22,0.162,0.66,0.817,0,0.0667,-6.269,0.0521,135.942,0.714,74,277591
192,right where you left me - bonus track,evermore (deluxe version),1/7/2021,2021,16,0.769,0.581,0.619,0.000106,0.117,-6.524,0.0282,137.915,0.645,79,245026
226,the 1 - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,1,0.898,0.708,0.25,0.026,0.102,-10.731,0.0361,139.803,0.156,58,219893
427,The Story Of Us - Live,Speak Now World Tour Live,10/25/2010,2010,3,0.00048,0.419,0.908,0,0.815,-5.156,0.0651,139.813,0.472,45,290520
49,The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,2023,7,0.00192,0.515,0.781,0,0.054,-2.608,0.0535,139.846,0.57,73,267653
113,Midnight Rain,Midnights,10/21/2022,2022,6,0.69,0.643,0.363,5.17E-05,0.115,-11.738,0.0767,139.865,0.23,81,174782
260,the 1,folklore,7/24/2020,2020,1,0.757,0.777,0.357,7.28E-06,0.108,-6.942,0.0522,139.883,0.172,79,210251
447,The Story Of Us,Speak Now (Deluxe Edition),10/25/2010,2010,7,0.00478,0.543,0.818,0.000368,0.0357,-3.611,0.0398,139.898,0.683,45,265666
467,The Story Of Us,Speak Now,10/25/2010,2010,7,0.00478,0.543,0.818,0.000368,0.0357,-3.611,0.0398,139.898,0.683,52,265666
209,the 1,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,1,0.75,0.78,0.361,7.14E-06,0.108,-6.942,0.048,139.902,0.163,52,210240
243,the 1,folklore (deluxe version),8/18/2020,2020,1,0.75,0.78,0.361,7.14E-06,0.108,-6.942,0.048,139.902,0.163,71,210240
346,The Story Of Us,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,38,0.00556,0.547,0.808,0.000304,0.0587,-3.63,0.0398,139.908,0.65,32,267653
93,Midnight Rain,Midnights (3am Edition),10/22/2022,2022,6,0.71,0.636,0.377,6.51E-05,0.115,-11.721,0.0708,139.966,0.23,65,174782
8,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/2023,2023,9,0.0436,0.589,0.674,7.18E-05,0.112,-7.48,0.0656,139.985,0.514,65,220433
310,Wildest Dreams,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,2,0.0692,0.55,0.688,0.00144,0.106,-7.416,0.0897,139.997,0.465,41,220440
363,Wildest Dreams,1989 (Deluxe Edition),10/27/2014,2014,9,0.0692,0.55,0.688,0.00144,0.106,-7.416,0.0897,139.997,0.465,51,220440
382,Wildest Dreams,1989,10/27/2014,2014,9,0.0702,0.554,0.666,0.00593,0.106,-7.414,0.0747,140.056,0.472,69,220440
30,Wildest Dreams (Taylor's Version),1989 (Taylor's Version),10/26/2023,2023,9,0.0411,0.581,0.672,9.35E-05,0.118,-7.415,0.0739,140.061,0.514,80,220433
70,Midnight Rain,Midnights (The Til Dawn Edition),5/26/2023,2023,6,0.705,0.654,0.372,6.78E-05,0.114,-11.704,0.0667,140.15,0.198,67,174782
82,Glitch,Midnights (The Til Dawn Edition),5/26/2023,2023,18,0.318,0.677,0.451,0,0.11,-9.744,0.19,140.845,0.399,62,148781
105,Glitch,Midnights (3am Edition),10/22/2022,2022,18,0.361,0.675,0.466,0,0.11,-9.738,0.201,140.864,0.347,66,148781
458,Back To December - Acoustic,Speak Now (Deluxe Edition),10/25/2010,2010,18,0.748,0.541,0.453,0,0.2,-6.459,0.0266,141.757,0.377,46,292560
237,mad woman - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,12,0.887,0.663,0.465,0.000168,0.109,-10.463,0.0408,141.834,0.346,54,238333
443,Back To December,Speak Now (Deluxe Edition),10/25/2010,2010,3,0.117,0.529,0.67,0,0.334,-4.663,0.0303,141.893,0.286,50,293026
463,Back To December,Speak Now,10/25/2010,2010,3,0.117,0.529,0.67,0,0.334,-4.663,0.0303,141.893,0.286,60,293026
220,mad woman,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,12,0.67,0.593,0.7,6.77E-06,0.116,-9.016,0.0492,141.898,0.451,48,237266
254,mad woman,folklore (deluxe version),8/18/2020,2020,12,0.67,0.593,0.7,6.77E-06,0.116,-9.016,0.0492,141.898,0.451,67,237266
271,mad woman,folklore,7/24/2020,2020,12,0.655,0.592,0.699,1.68E-05,0.114,-8.995,0.0471,141.916,0.506,69,237258
430,Back To December/Apologize/You're Not Sorry - Live/2011/Medley,Speak Now World Tour Live,10/25/2010,2010,6,0.155,0.374,0.516,0,0.795,-8.745,0.0294,142.057,0.171,50,362826
45,Back To December (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,2023,3,0.00621,0.497,0.635,0,0.117,-3.927,0.0273,142.063,0.203,79,294189
64,Timeless (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),7/7/2023,2023,22,0.3,0.624,0.585,0,0.0916,-5.847,0.0328,142.883,0.65,72,321396
171,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),4/9/2021,2021,21,0.816,0.599,0.494,0,0.101,-7.61,0.0372,142.893,0.44,63,220839
167,Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),4/9/2021,2021,17,0.0406,0.476,0.564,0,0.102,-5.677,0.0269,143.929,0.167,63,237338
352,I'm Only Me When I'm With You,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,44,0.00454,0.556,0.933,0.000469,0.101,-3.685,0.072,143.936,0.521,32,215600
342,Better Man,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,34,0.123,0.502,0.843,0,0.0974,-3.648,0.0378,143.944,0.507,34,263613
338,This Love,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,30,0.678,0.481,0.435,0,0.0928,-8.795,0.0321,143.95,0.107,31,250093
365,This Love,1989 (Deluxe Edition),10/27/2014,2014,11,0.678,0.481,0.435,0,0.0928,-8.795,0.0321,143.95,0.107,49,250093
478,Come In With The Rain,Fearless Platinum Edition,11/11/2008,2008,4,0.0868,0.527,0.475,4.34E-06,0.248,-6.205,0.0258,143.962,0.224,41,238106
526,I'm Only Me When I'm With You,Taylor Swift,10/24/2006,2006,12,0.00452,0.563,0.934,0.000807,0.103,-3.629,0.0646,143.964,0.518,58,213053
384,This Love,1989,10/27/2014,2014,11,0.635,0.475,0.459,0,0.101,-8.768,0.0333,143.988,0.0828,44,250093
32,This Love (Taylor’s Version),1989 (Taylor's Version),10/26/2023,2023,11,0.299,0.474,0.511,0,0.0673,-8.766,0.0339,144.022,0.0586,73,250100
10,This Love (Taylor’s Version),1989 (Taylor's Version) [Deluxe],10/27/2023,2023,11,0.316,0.471,0.509,0,0.0673,-8.796,0.0355,144.071,0.0567,63,250100
450,Better Than Revenge,Speak Now (Deluxe Edition),10/25/2010,2010,10,0.0139,0.516,0.917,6.37E-06,0.36,-3.186,0.0827,145.821,0.635,57,217160
470,Better Than Revenge,Speak Now,10/25/2010,2010,10,0.0139,0.516,0.917,6.37E-06,0.36,-3.186,0.0827,145.821,0.635,54,217160
52,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,2023,10,0.000886,0.496,0.885,0,0.191,-2.969,0.0803,145.863,0.665,75,220306
393,I Almost Do,Red (Deluxe Edition),10/22/2012,2012,7,0.0173,0.567,0.481,4.13E-05,0.182,-7.357,0.027,145.865,0.233,42,242573
415,I Almost Do,Red,10/22/2012,2012,7,0.0173,0.567,0.481,4.13E-05,0.182,-7.357,0.027,145.865,0.233,39,242573
127,I Almost Do (Taylor's Version),Red (Taylor's Version),11/12/2021,2021,7,0.0167,0.511,0.559,0,0.113,-6.587,0.0264,145.88,0.248,67,244586
180,‘tis the damn season,evermore (deluxe version),1/7/2021,2021,4,0.735,0.575,0.434,6.59E-05,0.105,-8.193,0.0312,145.916,0.348,69,229840
197,‘tis the damn season,evermore,12/11/2020,2020,4,0.735,0.575,0.434,6.59E-05,0.105,-8.193,0.0312,145.916,0.348,73,229840
431,Better Than Revenge - Live/2011,Speak Now World Tour Live,10/25/2010,2010,7,0.00306,0.445,0.887,2.67E-05,0.931,-5.629,0.0768,145.954,0.386,45,344573
345,Tied Together with a Smile,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,37,0.521,0.479,0.547,0,0.0728,-4.948,0.0275,146.147,0.238,31,251213
521,Tied Together with a Smile,Taylor Swift,10/24/2006,2006,7,0.525,0.479,0.578,0,0.0841,-4.963,0.0294,146.165,0.192,56,248106
62,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),7/7/2023,2023,20,0.362,0.576,0.57,0,0.0668,-7.925,0.0434,147.803,0.378,71,306062
456,If This Was A Movie,Speak Now (Deluxe Edition),10/25/2010,2010,16,0.166,0.511,0.719,4.54E-06,0.34,-3.457,0.0265,147.852,0.289,46,234546
262,the last great american dynasty,folklore,7/24/2020,2020,3,0.467,0.686,0.662,0.0023,0.109,-8.505,0.0413,147.922,0.706,75,230999
228,the last great american dynasty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,3,0.743,0.64,0.618,0.004,0.0574,-11.715,0.0379,147.948,0.614,55,232346
487,Breathe,Fearless Platinum Edition,11/11/2008,2008,13,0.373,0.498,0.486,0,0.113,-7.384,0.0273,147.952,0.17,41,263986
211,the last great american dynasty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,3,0.481,0.688,0.653,0.00414,0.106,-8.558,0.0403,147.991,0.701,51,231000
245,the last great american dynasty,folklore (deluxe version),8/18/2020,2020,3,0.481,0.688,0.653,0.00414,0.106,-8.558,0.0403,147.991,0.701,70,231000
157,Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),4/9/2021,2021,7,0.156,0.506,0.626,0,0.228,-6.066,0.0287,148.035,0.321,66,263377
146,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),11/12/2021,2021,26,0.167,0.391,0.715,0,0.183,-4.516,0.0495,149.654,0.473,73,285106
240,peace - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,15,0.93,0.619,0.344,7.61E-05,0.0734,-11.472,0.0647,149.897,0.513,54,214373
293,Daylight,Lover,8/23/2019,2019,18,0.808,0.557,0.496,0.000173,0.0772,-9.602,0.0563,149.983,0.265,82,293453
274,peace,folklore,7/24/2020,2020,15,0.918,0.647,0.272,1.73E-05,0.0918,-12.906,0.0916,150.044,0.339,70,234000
223,peace,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,15,0.916,0.644,0.284,1.50E-05,0.0909,-12.879,0.0821,150.072,0.328,47,234000
257,peace,folklore (deluxe version),8/18/2020,2020,15,0.916,0.644,0.284,1.50E-05,0.0909,-12.879,0.0821,150.072,0.328,66,234000
282,Miss Americana & The Heartbreak Prince,Lover,8/23/2019,2019,7,0.028,0.662,0.747,0.00615,0.138,-6.926,0.0736,150.088,0.487,81,234146
190,closure,evermore (deluxe version),1/7/2021,2021,14,0.835,0.689,0.704,4.83E-06,0.134,-10.813,0.245,151.884,0.92,64,180653
207,closure,evermore,12/11/2020,2020,14,0.835,0.689,0.704,4.83E-06,0.134,-10.813,0.245,151.884,0.92,63,180653
193,it’s time to go - bonus track,evermore (deluxe version),1/7/2021,2021,17,0.801,0.592,0.41,1.39E-05,0.09,-12.426,0.0397,151.923,0.416,70,254640
229,exile (feat. Bon Iver) - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,4,0.848,0.359,0.305,6.74E-05,0.111,-10.295,0.0306,151.956,0.108,57,279893
124,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),11/12/2021,2021,4,0.0129,0.584,0.557,0,0.0576,-6.371,0.0342,154.008,0.767,78,219760
16,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version) [Deluxe],10/27/2023,2023,17,0.309,0.591,0.412,0.000199,0.0608,-13.27,0.0863,155.875,0.328,69,180381
528,A Perfectly Good Heart,Taylor Swift,10/24/2006,2006,14,0.00349,0.483,0.751,0,0.128,-5.726,0.0365,156.092,0.268,53,220146
131,Holy Ground (Taylor's Version),Red (Taylor's Version),11/12/2021,2021,11,0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,0.511,67,202960
313,Holy Ground,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,5,0.0162,0.627,0.816,0.00208,0.0965,-6.698,0.0774,157.043,0.648,33,202960
397,Holy Ground,Red (Deluxe Edition),10/22/2012,2012,11,0.0162,0.627,0.816,0.00208,0.0966,-6.698,0.0774,157.043,0.648,42,201853
419,Holy Ground,Red,10/22/2012,2012,11,0.0162,0.627,0.816,0.00208,0.0966,-6.698,0.0774,157.043,0.648,36,201853
188,long story short,evermore (deluxe version),1/7/2021,2021,12,0.66,0.546,0.73,0.179,0.0972,-7.704,0.0417,157.895,0.573,67,215920
205,long story short,evermore,12/11/2020,2020,12,0.66,0.546,0.73,0.179,0.0972,-7.704,0.0417,157.895,0.573,66,215920
286,London Boy,Lover,8/23/2019,2019,11,0.0246,0.695,0.71,0.000104,0.133,-6.639,0.05,157.925,0.557,77,190240
83,"Would've, Could've, Should've",Midnights (The Til Dawn Edition),5/26/2023,2023,19,0.435,0.482,0.837,0.00147,0.123,-6.501,0.12,157.96,0.534,65,260361
106,"Would've, Could've, Should've",Midnights (3am Edition),10/22/2022,2022,19,0.43,0.483,0.84,0.000575,0.146,-6.508,0.119,157.979,0.55,71,260361
170,Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),4/9/2021,2021,20,0.0135,0.482,0.779,0,0.296,-5.025,0.0409,158.162,0.328,65,241822
295,End Game,reputation,11/10/2017,2017,2,0.00845,0.649,0.589,0,0.108,-6.237,0.0558,159.073,0.151,78,244826
57,Ours (Taylor’s Version),Speak Now (Taylor's Version),7/7/2023,2023,15,0.449,0.535,0.488,0,0.111,-8.261,0.0278,159.813,0.348,69,235803
334,Ours,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,26,0.469,0.61,0.56,0,0.087,-7.392,0.0279,159.837,0.228,33,239346
455,Ours,Speak Now (Deluxe Edition),10/25/2010,2010,15,0.537,0.608,0.569,0,0.097,-7.227,0.0284,159.845,0.238,49,237920
385,I Know Places,1989,10/27/2014,2014,12,0.231,0.596,0.763,0,0.2,-4.99,0.0661,159.958,0.507,44,195706
354,I Know Places,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,46,0.245,0.602,0.755,0,0.178,-4.991,0.071,159.965,0.495,32,195706
366,I Know Places,1989 (Deluxe Edition),10/27/2014,2014,12,0.245,0.602,0.755,0,0.178,-4.991,0.071,159.965,0.495,51,195706
294,...Ready For It?,reputation,11/10/2017,2017,1,0.0527,0.613,0.764,0,0.197,-6.509,0.136,160.015,0.417,84,208186
379,Shake It Off,1989,10/27/2014,2014,6,0.0561,0.647,0.785,0,0.148,-5.414,0.165,160.015,0.943,73,219200
304,Dancing With Our Hands Tied,reputation,11/10/2017,2017,11,0.0604,0.624,0.691,1.10E-05,0.138,-6.686,0.196,160.024,0.284,75,211506
11,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/2023,2023,12,0.0999,0.582,0.788,0,0.115,-5.358,0.0445,160.027,0.652,65,195700
33,I Know Places (Taylor's Version),1989 (Taylor's Version),10/26/2023,2023,12,0.087,0.575,0.803,0,0.0971,-5.393,0.0465,160.039,0.68,72,195700
27,Shake It Off (Taylor's Version),1989 (Taylor's Version),10/26/2023,2023,6,0.0103,0.632,0.807,1.27E-05,0.29,-5.676,0.0738,160.055,0.921,78,219209
5,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/2023,2023,6,0.0121,0.636,0.808,2.18E-05,0.359,-5.693,0.0729,160.058,0.917,65,219209
360,Shake It Off,1989 (Deluxe Edition),10/27/2014,2014,6,0.0647,0.647,0.8,0,0.334,-5.384,0.165,160.078,0.942,53,219200
164,Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),4/9/2021,2021,14,0.0474,0.572,0.69,0,0.0897,-6.201,0.0358,160.111,0.624,66,237580
490,The Way I Loved You,Fearless Platinum Edition,11/11/2008,2008,16,0.0322,0.436,0.712,0,0.111,-3.689,0.0329,160.886,0.379,41,244240
503,The Way I Loved You,Fearless,11/11/2008,2008,10,0.0408,0.433,0.7,0,0.115,-3.709,0.0336,160.927,0.398,50,244226
160,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),4/9/2021,2021,10,0.0033,0.402,0.732,0,0.108,-4.665,0.0484,161.032,0.472,79,243136
326,Haunted,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,18,0.0648,0.431,0.949,0,0.0612,-2.622,0.0605,162.012,0.37,33,245413
452,Haunted,Speak Now (Deluxe Edition),10/25/2010,2010,12,0.0826,0.436,0.95,1.08E-06,0.149,-2.627,0.057,162.088,0.352,50,242080
472,Haunted,Speak Now,10/25/2010,2010,12,0.0826,0.436,0.95,1.08E-06,0.149,-2.627,0.057,162.088,0.352,49,242080
439,Haunted - Live/2011,Speak Now World Tour Live,10/25/2010,2010,15,0.0245,0.338,0.818,0,0.889,-7.495,0.0496,162.157,0.177,45,292426
54,Haunted (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,2023,12,0.00667,0.427,0.915,0,0.221,-1.909,0.0619,162.201,0.355,72,245413
438,Enchanted - Live/2011,Speak Now World Tour Live,10/25/2010,2010,14,0.0747,0.34,0.663,2.34E-06,0.563,-5.597,0.0331,163.678,0.214,46,389213
428,Mean - Live/2011,Speak Now World Tour Live,10/25/2010,2010,4,0.154,0.429,0.915,0,0.693,-4.373,0.069,163.752,0.432,44,246373
480,The Other Side Of The Door,Fearless Platinum Edition,11/11/2008,2008,6,0.169,0.476,0.816,0,0.238,-4.279,0.0347,163.847,0.469,40,237600
48,Mean (Taylor's Version),Speak Now (Taylor's Version),7/7/2023,2023,6,0.311,0.524,0.692,0,0.192,-3.866,0.0369,163.874,0.621,74,238693
319,Mean,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,11,0.451,0.576,0.754,0,0.223,-3.982,0.0428,163.886,0.79,36,238693
449,Enchanted,Speak Now (Deluxe Edition),10/25/2010,2010,9,0.0739,0.455,0.623,0.000424,0.146,-3.878,0.0288,163.893,0.208,49,352186
469,Enchanted,Speak Now,10/25/2010,2010,9,0.0739,0.455,0.623,0.000424,0.146,-3.878,0.0288,163.893,0.208,66,352186
169,The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),4/9/2021,2021,19,0.0279,0.432,0.873,0,0.167,-4.367,0.0577,163.936,0.629,67,238443
307,Call It What You Want,reputation,11/10/2017,2017,14,0.186,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,0.252,78,203506
306,This Is Why We Can't Have Nice Things,reputation,11/10/2017,2017,13,0.0156,0.567,0.789,0,0.382,-5.986,0.115,163.96,0.438,74,207133
446,Mean,Speak Now (Deluxe Edition),10/25/2010,2010,6,0.452,0.568,0.761,0,0.217,-3.987,0.0459,163.974,0.789,53,237733
466,Mean,Speak Now,10/25/2010,2010,6,0.452,0.568,0.761,0,0.217,-3.987,0.0459,163.974,0.789,59,237733
116,Bejeweled,Midnights,10/21/2022,2022,9,0.0618,0.696,0.559,5.58E-05,0.0887,-9.19,0.0693,163.999,0.433,81,194165
73,Bejeweled,Midnights (The Til Dawn Edition),5/26/2023,2023,9,0.0648,0.695,0.546,0.000128,0.0883,-9.184,0.066,164,0.425,66,194165
96,Bejeweled,Midnights (3am Edition),10/22/2022,2022,9,0.0661,0.7,0.55,0.000102,0.091,-9.13,0.0653,164.003,0.412,66,194165
102,Bigger Than The Whole Sky,Midnights (3am Edition),10/22/2022,2022,15,0.826,0.422,0.235,0.00648,0.115,-12.379,0.0568,165.71,0.068,70,218502
144,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),11/12/2021,2021,24,0.0538,0.584,0.743,2.83E-06,0.121,-7.075,0.0931,167.844,0.746,70,224240
523,Should've Said No,Taylor Swift,10/24/2006,2006,9,0.0103,0.476,0.777,0,0.196,-3.771,0.0289,167.964,0.472,64,242200
29,Bad Blood (Taylor's Version),1989 (Taylor's Version),10/26/2023,2023,8,0.0385,0.619,0.686,0,0.307,-6.369,0.164,169.943,0.364,75,211103
7,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/2023,2023,8,0.0362,0.618,0.683,0,0.305,-6.438,0.194,169.971,0.363,64,211103
277,Cruel Summer,Lover,8/23/2019,2019,2,0.117,0.552,0.702,2.06E-05,0.105,-5.707,0.157,169.994,0.564,96,178426
21,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version) [Deluxe],10/27/2023,2023,22,0.0104,0.602,0.648,0,0.217,-6.905,0.103,170.091,0.174,74,199773
369,You Are In Love,1989 (Deluxe Edition),10/27/2014,2014,15,0.707,0.474,0.48,0.000108,0.0903,-8.894,0.0622,170.109,0.319,56,267106
381,Bad Blood,1989,10/27/2014,2014,8,0.0871,0.65,0.802,6.54E-06,0.148,-6.114,0.181,170.146,0.295,66,211933
362,Bad Blood,1989 (Deluxe Edition),10/27/2014,2014,8,0.0885,0.646,0.794,6.16E-06,0.201,-6.104,0.19,170.216,0.287,50,211933
178,champagne problems,evermore (deluxe version),1/7/2021,2021,2,0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,0.32,71,244000
195,champagne problems,evermore,12/11/2020,2020,2,0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,0.32,80,244000
513,Should've Said No - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,6/28/2008,2008,7,0.399,0.429,0.808,0,0.0884,-3.004,0.0677,171.537,0.438,33,228473
329,Babe,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,21,0.0221,0.577,0.784,0,0.125,-3.266,0.101,171.791,0.643,33,215106
168,Superstar (Taylor’s Version),Fearless (Taylor's Version),4/9/2021,2021,18,0.157,0.454,0.555,0,0.343,-6.69,0.0283,171.862,0.171,62,263865
128,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),11/12/2021,2021,8,0.0317,0.567,0.686,1.86E-06,0.0732,-6.139,0.175,172.014,0.716,78,193146
302,Getaway Car,reputation,11/10/2017,2017,9,0.00465,0.562,0.689,2.23E-06,0.0888,-6.745,0.127,172.054,0.351,84,233626
519,Cold As You,Taylor Swift,10/24/2006,2006,5,0.217,0.418,0.482,0,0.123,-5.769,0.0266,175.558,0.261,57,239013
76,Sweet Nothing,Midnights (The Til Dawn Edition),5/26/2023,2023,12,0.967,0.335,0.166,0.00012,0.115,-14.958,0.048,175.917,0.391,64,188496
81,High Infidelity,Midnights (The Til Dawn Edition),5/26/2023,2023,17,0.726,0.564,0.545,0,0.0878,-10.17,0.104,176.082,0.766,63,231475
119,Sweet Nothing,Midnights,10/21/2022,2022,12,0.964,0.337,0.156,7.72E-05,0.115,-14.919,0.0518,176.655,0.39,73,188496
99,Sweet Nothing,Midnights (3am Edition),10/22/2022,2022,12,0.967,0.334,0.161,4.71E-05,0.115,-14.875,0.0506,176.747,0.396,63,188496
315,Our Song,reputation Stadium Tour Surprise Song Playlist,11/9/2017,2017,7,0.114,0.545,0.663,0,0.321,-5.05,0.0363,178.013,0.565,41,203440
225,the lakes - bonus track,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2020,17,0.842,0.313,0.258,1.30E-06,0.0948,-11.532,0.0383,179.947,0.268,48,211813
259,the lakes - bonus track,folklore (deluxe version),8/18/2020,2020,17,0.842,0.313,0.258,1.30E-06,0.0948,-11.532,0.0383,179.947,0.268,70,211813
291,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,8/23/2019,2019,16,0.033,0.61,0.83,0,0.118,-4.105,0.0571,182.162,0.728,78,193000
35,Wonderland (Taylor's Version),1989 (Taylor's Version),10/26/2023,2023,14,0.00933,0.462,0.708,1.88E-05,0.198,-5.971,0.0555,183.811,0.337,72,245566
